spclist,Wings.M,Wing.2.M,Wing.3.M,Wings pattern.M,Belly.M,Belly.2.M,Belly.3.M,Belly pattern.M,Head.M,Head.2.M,Head.3.M,Head pattern.M,Tail.M,Tail.2.M,Tail.3.M,Tail pattern.M,Length.M,Wing Length.M,TailL.M,Tarsus.M,Weight.M,Remark.M,Wings.F,Wings2..F,Wings.3.F,Wings pattern.F,Belly.F,Belly.2.F,Belly.3.F,Belly pattern.F,Head.F,Head.2.F,Head.3.F,Head pattern.F,Tail.F,Tail.2.F,Tail.2.F,Tail pattern.F,Length.F,Wing Length.F,TailL.F,Tarsus.F,Weight.F,Remark.F,Dimorphism,Mating,Brooding,Remark on breeding
Bambusicola thoracicus,Grey-Raddish,Black,,C,Brown-Raddish,,,C,Grey-Brown,Raddish,,N,Greyishbrown-Black,White,,B,31,,,,271,from HELM guide,Grey-Raddish,Black,,C,Brown-Raddish,,,C,Grey-Brown,Raddish,,N,Greyishbrown-Black,White,,B,31,,,,271,,0,,,
Callipepla squamata,Greyishblack,,,N,Brown-Black,Grey-Black,,C,Darkbrown,White,,N,Black,,,N,26,115,83,,176,,Greyishblack,,,N,Brown-Black,Grey-Black,,C,Darkbrown,White,,N,Black,,,N,25,114,82,,202,Outer-group,0,M,B,
Caloperdix oculeus,NOT EXIST IN PHEASANT FIELD GUIDE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chrysolophus amherstiae,White-black,Yellow-Red,Blue,C,White,Black,,N,Black,Red,,N,Black-White,,,BI,152,220,990,80,762,,Brown-Black,,,B,Brown-Black,,,B,Brown-Black,,,B,Brown-Black,,,B,67,193,330,70,714,,1,B,F,
Chrysolophus pictus,Yellow,Brown,Blue-Black,N,Red,,,N,Yellow,Yellow-Black,DarkGreen,NC,Brown-Black,,,I,107,200,710,75,642,,Brown-Black,,,B,Brown-Black,,,B,Brown-Black,,,B,Brown-Black,,,B,65,179,358,70,607,,1,B,F,Mating unclear
Colinus virginianus,,,,,,,,,,,,,,,,,26,108,,,171,,,,,,,,,,,,,,,,,,26,108,,,171,,0,,,
Coturnix chinensis,Brown-Black,,,C,Blue,Red,,N,Brown-Black,White,Black,sBB,Brown,,,N,14,72,26,19,41,,Brown-Black,,,C,Grey-Brown,,,B,Brown-Black,,,B,Brown,,,N,13,72,26,18,36,,1,,,
Coturnix japonica,Brown,Black-White,,C,White,Brown,,C,Brown-Black,,,sB,Brown,Black-White,,C,18,96,42,25,90,,Brown,Black-White,,C,White,Brown,,C,White-Black,,,sB,Brown,Black-White,,C,17,96,42,25,90,,1,B,F,
Crax daubentoni,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crax rubra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crossoptilon crossoptilon,White,Black,,N,White,,,N,Blood red,Black,White,N,Metal Black,,,N,91,320,337,87,2550,,White,Black,,N,White,,,N,Blood red,Black,White,N,Metal Black,,,N,91,299,300,87,1725,,0,M,F,unclear
Crossoptilon harmani,Greyishblue,,,N,Greyishblue,White,,N,Blood red,Black,White,N,Metal Black,,,N,80,289,508,90,,,Greyishblue,,,N,Greyishblue,White,,N,Blood red,Black,White,N,Metal Black,,,N,80,273,508,90,,no weight,0,M,F,
Crossoptilon mantchuricum,Brown,Greyishblue,,N,Greyishblack,,,N,Blood red,Black,White,N,White,Metal Black,,B,98,291,550,100,2062,,Greyishbrown,,,C,Greyishbrown,,,C,Lightraddish,White-black,Greyishbrown,sB,White,Metalblack,,N,98,277,511,100,1738,tarsus c,1,M,F,
Francolinus pintadeanus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gallus gallus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gallus lafayetii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gallus sonneratii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gallus varius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ithaginis cruentus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lagopus lagopus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lagopus muta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lerwa lerwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lophophorus lhuysii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lophophorus sclateri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lophura ignita,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lophura nycthemera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lophura swinhoii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lyrurus tetrix,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meleagris gallopavo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meleagris ocellata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mitogenome.spc.list.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Numida meleagris,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pavo cristatus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pavo muticus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Perdix hodgsoniae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phasianus colchicus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phasianus versicolor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pipile pipile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polyplectron bicalcaratum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polyplectron germaini,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polyplectron napoleonis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ptilopachus petrosus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pucrasia macrolopha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhynchortyx cinctus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Syrmaticus ellioti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Syrmaticus humiae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Syrmaticus reevesii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tetraogallus himalayensis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tetraogallus tibetanus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tetraophasis obscurus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tetraophasis szechenyii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tetrastes bonasia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tetrastes sewerzowi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tragopan caboti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tragopan temminckii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
